REVOLT,https://www.giant.co.jp/giant20/images/bike/CA02/00000047_m.jpg,REVOLT 2,"135,000","
                              フレーム：ALUXX-Grade Aluminum，OLD142mm
                              コンポーネント：SHIMANO SORA 18-speed
                              ブレーキ：GIANT CONDUCT HYDRAULIC DISC BRAKE SYSTEM
                              シートピラー：GIANT D-FUSE Aluminum
                              タイヤ：GIANT CROSSCUT AT 2 700x38C TLR
                            "
GRAVIER,https://www.giant.co.jp/giant20/images/bike/CA02/00000049_m.jpg,GRAVIER,"54,000","
                              フレーム：ALUXX-Grade Aluminum，Cr-mo Fork
                              コンポーネント：SHIMANO ALTUS / EF500 24-speed
                              ブレーキ：TEKTRO TB07AL
                              ホイールセット：GIANT SPINFORCE XR
                              タイヤ：KENDA K-1082 27.5x1.75 
                            "
SNAP,https://www.giant.co.jp/giant20/images/bike/CA02/00000050_m.jpg,SNAP,"49,000","
                              フレーム：ALUXX-Grade Aluminum
                              フォーク：SR SUNTOUR XCT 80mm Travel
                              コンポーネント：SHIMANO TOURNEY TX / EF41 21-Speed
                              ブレーキ：TEKTRO V
                              タイヤ：KENDA KRANIUM 26x2.1
                            "
TCX ESPOIR 24,https://www.giant.co.jp/giant20/images/bike/CA02/00000073_m.jpg,TCX ESPOIR 24,"69,000","
                              フレーム：ALUXX-Grade Aluminum
                              コンポーネント：SHIMANO CLARIS / MICROSHIFT 8-speed
                              クランクセット：PROWHEEL V32P 32T 140mm
                              ブレーキ：GIANT DISC with MICROSHIFT Sub Lever
                              タイヤ：SCHWALBE CX PRO 24x1.35
                            "
ARX 24,https://www.giant.co.jp/giant20/images/bike/CA02/00000074_m.jpg,ARX 24,"45,000","
                              フレーム：ALUXX-Grade Aluminum
                              コンポーネント：コンポーネント：SHIMANO ALTUS / M315 8-speed
                              クランクセット：WHEELTOP 32T 140mm
                              タイヤ：GIANT JUNIOR 24x1.5
                            "
PROPEL ADVANCED,https://www.giant.co.jp/giant20/images/bike/CA01/00000008_m.jpg,PROPEL ADVANCED 2,"225,000","
                              フレーム：Advanced-Grade Composite
                              コンポーネント：SHIMANO 105 22-speed
                              ブレーキ：GIANT SPEED CONTROL SL
                              ホイールセット：GIANT P-A2 DBL
                              タイヤ：GIANT GAVIA AC 1 700x25C TLR
                            "
TCR ADVANCED,https://www.giant.co.jp/giant20/images/bike/CA01/00000093_m.jpg,TCR ADVANCED 2 KOM,"210,000","
                              フレーム：Advanced-Grade Composite
                              コンポーネント：SHIMANO 105 22-speed
                              ブレーキ：SHIMANO 105
                              ホイールセット：GIANT P-R2
                              タイヤ：GIANT GAVIA AC 1 700x25C TLR
                            "
TCR SL,https://www.giant.co.jp/giant20/images/bike/CA01/00000018_m.jpg,TCR SL 2,"135,000","
                              フレーム：ALUXX SL-Grade Aluminum
                              コンポーネント：SHIMANO TIAGRA 20-speed
                              ブレーキ：TEKTRO TKB177
                              ホイールセット：GIANT S-R2
                              タイヤ：GIANT GAVIA AC 2 700x25C TLR
                            "
TRINITY ADVANCED PRO,https://www.giant.co.jp/giant20/images/bike/CA01/00000020_m.jpg,TRINITY ADVANCED PRO TT FRAME SET,"370,000","
                              フレーム：Advanced-Grade Composite Aero
                              フォーク：AeroDrive Advanced-Grade Composite
                              ブレーキ：GIANT Tri SPEED CONTROL SL
                              シートポスト：Tri Aero Composite
                              ハンドル：GIANT Tri SPEED CONTROL SL
                            "
DEFY ADVANCED,https://www.giant.co.jp/giant20/images/bike/CA01/00000023_m.jpg,DEFY ADVANCED 2,"250,000","
                              フレーム：Advanced-Grade Composite，OLD142mm
                              コンポーネント：SHIMANO 105 22-speed
                              ブレーキ：SHIMANO 105 hydraulic disc
                              ホイールシステム：GIANT P-R2 DISC
                              タイヤ：GIANT GAVIA FONDO 1 700x32C TLR
                            "
